FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
379;BDCSURCO0000000009597853;Tiercé;49347;3409;4314;49; ; ;Communauté de communes Anjou Loir et Sarthe;49347
380;BDCSURCO0000000009600382;Toutlemonde;49352;1288;1257;49; ; ;Agglomération du Choletais;49352
381;BDCSURCO0000000009598423;Trélazé;49353;1226;13580;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49353
382;BDCSURCO0000000009600125;Trémentines;49355;3486;2867;49; ; ;Agglomération du Choletais;49355
383;BDCSURCO0000000009599581;Turquant;49358;793;580;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49358
384;BDCSURCO0000000009599590;Les Ulmes;49359;820;584;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49359
385;BDCSURCO0000000009599579;Varennes-sur-Loire;49361;2346;1866;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49361
386;BDCSURCO0000000009599584;Varrains;49362;345;1238;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49362
387;BDCSURCO0000000009600112;Vaudelnay;49364;2563;1192;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49364
388;BDCSURCO0000000009597865;Erdre-en-Anjou;49367;9263;5691;49;Erdre-en-Anjou;CN;Communauté de communes Vallées du Haut-Anjou;49367
389;BDCSURCO0000000009599010;Vernantes;49368;4170;1981;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49368
390;BDCSURCO0000000009599007;Vernoil-le-Fourrier;49369;3320;1267;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49369
391;BDCSURCO0000000009599587;Verrie;49370;1711;462;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49370
392;BDCSURCO0000000009600123;Vezins;49371;1839;1678;49; ; ;Agglomération du Choletais;49371
393;BDCSURCO0000000009600119;Lys Haut Layon;49373;17188;7849;49;Lys Haut Layon;CN;Agglomération du Choletais;49373
394;BDCSURCO0000000009599580;Villebernier;49374;1010;1501;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49374
395;BDCSURCO0000000009598142;Villevêque;49377;2867;2869;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49377
